"mc","physicist","E","T","L"
768.0,"Sergio (replica A)",-0.56640625,0.6,8
769.0,"Sergio (replica A)",-0.56640625,0.6,8
777.0,"Sergio (replica A)",-0.56640625,0.6,8
788.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
789.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
792.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
800.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
814.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
816.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
823.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
831.0,"Sergio (replica A)",-0.56640625,0.6,8
852.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
860.0,"Sergio (replica A)",-0.56640625,0.6,8
861.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
862.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
863.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
864.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
865.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
866.0,"Sergio (replica A)",-0.56640625,0.6,8
867.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
869.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
870.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
872.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
874.0,"Sergio (replica A)",-0.56640625,0.6,8
876.0,"Sergio (replica A)",-0.56640625,0.6,8
877.0,"Sergio (replica A)",-0.56640625,0.6,8
880.0,"Sergio (replica A)",-0.56640625,0.6,8
883.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
887.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
893.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
899.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
905.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
906.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
912.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
914.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
925.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
937.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
939.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
942.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
951.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
968.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
970.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
980.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
989.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1013.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1024.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1025.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1026.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1027.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1028.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1029.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1030.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1032.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1033.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1035.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1037.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1038.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1040.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1042.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
1043.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1046.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1050.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
1056.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1062.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1069.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1076.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
1077.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1086.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1088.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1100.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1114.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
1117.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1120.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1131.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1152.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1154.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1165.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1176.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1205.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1216.0,"Sergio (replica A)",-0.57421875,0.6,8
1217.0,"Sergio (replica A)",-0.57421875,0.6,8
1218.0,"Sergio (replica A)",-0.57421875,0.6,8
1219.0,"Sergio (replica A)",-0.57421875,0.6,8
1220.0,"Sergio (replica A)",-0.57421875,0.6,8
1221.0,"Sergio (replica A)",-0.57421875,0.6,8
1222.0,"Sergio (replica A)",-0.57421875,0.6,8
1223.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1225.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1226.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1228.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
1230.0,"Sergio (replica A)",-0.5716145833333334,0.6,8
1233.0,"Sergio (replica A)",-0.57421875,0.6,8
1236.0,"Sergio (replica A)",-0.57421875,0.6,8
1239.0,"Sergio (replica A)",-0.57421875,0.6,8
1243.0,"Sergio (replica A)",-0.57421875,0.6,8
